Size;Test_Number;BFS;DFS;BestFS
Size 3;Test_Number 87;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 88;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 89;BFS 3;DFS 3;BestFS 3
Size 3;Test_Number 90;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 91;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 92;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 93;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 94;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 95;BFS 3;DFS 2;BestFS 3
Size 3;Test_Number 96;BFS 8;DFS 5;BestFS 8
Size 3;Test_Number 97;BFS 6;DFS 4;BestFS 6
Size 3;Test_Number 98;BFS 5;DFS 3;BestFS 4
Size 3;Test_Number 99;BFS 3;DFS 3;BestFS 4
Size 3;Test_Number 100;BFS 3;DFS 3;BestFS 4
Size 4;Test_Number 1;BFS 14;DFS 11;BestFS 17
Size 4;Test_Number 2;BFS 11;DFS 11;BestFS 16
Size 4;Test_Number 3;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 4;BFS 11;DFS 11;BestFS 15
Size 4;Test_Number 5;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 6;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 7;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 8;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 9;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 10;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 11;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 12;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 13;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 14;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 15;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 16;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 17;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 18;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 19;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 20;BFS 11;DFS 10;BestFS 16
Size 4;Test_Number 21;BFS 11;DFS 12;BestFS 15
Size 4;Test_Number 22;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 23;BFS 10;DFS 10;BestFS 15
Size 4;Test_Number 24;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 25;BFS 11;DFS 9;BestFS 15
Size 4;Test_Number 26;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 27;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 28;BFS 11;DFS 9;BestFS 15
Size 4;Test_Number 29;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 30;BFS 11;DFS 10;BestFS 14
Size 4;Test_Number 31;BFS 11;DFS 10;BestFS 15
Size 4;Test_Number 32;BFS 11;DFS 9;BestFS 14
Size 4;Test_Number 33;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 34;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 35;BFS 10;DFS 10;BestFS 15
Size 4;Test_Number 36;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 37;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 38;BFS 10;DFS 10;BestFS 15
Size 4;Test_Number 39;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 40;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 41;BFS 10;DFS 10;BestFS 14
Size 4;Test_Number 42;BFS 10;DFS 10;BestFS 15
Size 4;Test_Number 43;BFS 11;DFS 10;BestFS 14
Size 4;Test_Number 44;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 45;BFS 11;DFS 9;BestFS 15
Size 4;Test_Number 46;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 47;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 48;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 49;BFS 10;DFS 9;BestFS 15
Size 4;Test_Number 50;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 51;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 52;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 53;BFS 10;DFS 9;BestFS 14
Size 4;Test_Number 54;BFS 11;DFS 9;BestFS 14
